/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ001-0045.wav|fourteen sixty-nine, fourteen seventy;
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ001-0061.wav|the Roman letter was used side by side with the Gothic.
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ001-0090.wav|With this change the art of printing touched bottom,
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ001-0126.wav|Most of Jenson's letters are designed within a square,
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ001-0160.wav|by that made in America, which is the worst conceivable.
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ001-0185.wav|printed books might once again illustrate to the full
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ002-0002.wav|Under the conditions referred to in the previous chapter,
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ002-0009.wav|On the twenty-seventh April, in the following year,
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ002-0019.wav|who seldom let a session go by without visiting Newgate.
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ002-0023.wav|On the female side matters were much worse;
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ002-0045.wav|The various wards were all about eleven feet in height,
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ002-0076.wav|The state side contained twelve good-sized rooms,
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ002-0083.wav|The ground floor cells were nine feet by six;
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ002-0155.wav|for which the costs were six shillings ten pence.
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ002-0191.wav|Besides those actually resident within the walls,
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ002-0213.wav|The Fleet, which stood in Farringdon Street,
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ002-0287.wav|There were no beds or bedding, no straw even.
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ002-0311.wav|These were lumped together into a general fund,
/rds/general/user/ak8224/home/emoji_project/data/Emotion/Processed/Neutral/LJ003-0017.wav|Order throughout the debtors' side was preserved
